LIGA,CONFRONTO_CASA,CONFRONTO_FORA,PLACAR_CASA,PLACAR_FORA,RESULTADO
BRASIL - SÉRIE A,CORINTHIANS,CORITIBA,3,1,CASA
BRASIL - SÉRIE A,BOTAFOGO,ATLÉTICO MINEIRO,2,1,CASA
BRASIL - SÉRIE A,SPORT RECIFE,SANTOS,0,1,FORA
BRASIL - SÉRIE A,SÃO PAULO,EC BAHIA,1,1,EMPATE
BRASIL - SÉRIE A,CEARÁ,VASCO DA GAMA,0,3,FORA
BRASIL - SÉRIE A,FLAMENGO,GRÊMIO,1,1,EMPATE
BRASIL - SÉRIE A,BRAGANTINO,FLUMINENSE,2,1,CASA
BRASIL - SÉRIE A,ATLÉTICO PARANAENSE,PALMEIRAS,0,1,FORA
BRASIL - SÉRIE A,INTERNACIONAL,ATLÉTICO GOIANIENSE,3,0,CASA
BRASIL - SÉRIE A,GOIÁS,FORTALEZA EC,1,3,FORA
BRASIL - SÉRIE A,PALMEIRAS,GOIÁS,1,1,EMPATE
BRASIL - SÉRIE A,ATLÉTICO MINEIRO,CEARÁ,2,0,CASA
BRASIL - SÉRIE A,EC BAHIA,BRAGANTINO,2,1,CASA
BRASIL - SÉRIE A,VASCO DA GAMA,SÃO PAULO,2,1,CASA
BRASIL - SÉRIE A,FLUMINENSE,INTERNACIONAL,2,1,CASA
BRASIL - SÉRIE A,ATLÉTICO GOIANIENSE,SPORT RECIFE,1,1,EMPATE
BRASIL - SÉRIE A,FORTALEZA EC,BOTAFOGO,0,0,EMPATE
BRASIL - SÉRIE A,SANTOS,ATLÉTICO PARANAENSE,3,1,CASA
BRASIL - SÉRIE A,GRÊMIO,CORINTHIANS,0,0,EMPATE
BRASIL - SÉRIE A,CORITIBA,FLAMENGO,0,1,FORA
BRASIL - SÉRIE A,CEARÁ,GRÊMIO,1,1,EMPATE
BRASIL - SÉRIE A,FLUMINENSE,PALMEIRAS,1,1,EMPATE
BRASIL - SÉRIE A,SÃO PAULO,FORTALEZA EC,1,0,CASA
BRASIL - SÉRIE A,INTERNACIONAL,SANTOS,2,0,CASA
BRASIL - SÉRIE A,VASCO DA GAMA,SPORT RECIFE,2,0,CASA
BRASIL - SÉRIE A,BRAGANTINO,BOTAFOGO,1,1,EMPATE
BRASIL - SÉRIE A,ATLÉTICO MINEIRO,CORINTHIANS,3,2,CASA
BRASIL - SÉRIE A,ATLÉTICO PARANAENSE,GOIÁS,2,1,CASA
BRASIL - SÉRIE A,EC BAHIA,CORITIBA,1,0,CASA
BRASIL - SÉRIE A,ATLÉTICO GOIANIENSE,FLAMENGO,3,0,CASA
BRASIL - SÉRIE A,SPORT RECIFE,CEARÁ,3,2,CASA
BRASIL - SÉRIE A,SANTOS,BRAGANTINO,1,1,EMPATE
BRASIL - SÉRIE A,FLAMENGO,ATLÉTICO MINEIRO,0,1,FORA
BRASIL - SÉRIE A,GRÊMIO,FLUMINENSE,1,0,CASA
BRASIL - SÉRIE A,FORTALEZA EC,ATLÉTICO PARANAENSE,0,2,FORA
BRASIL - SÉRIE A,CORITIBA,INTERNACIONAL,0,1,FORA
BRASIL - SÉRIE A,VASCO DA GAMA,CHAPECOENSE,1,1,EMPATE
BRASIL - SÉRIE A,FORTALEZA EC,EC BAHIA,2,1,CASA
BRASIL - SÉRIE A,AVAÍ,ATLÉTICO PARANAENSE,0,0,EMPATE
BRASIL - SÉRIE A,CS ALAGOANO,SÃO PAULO,1,2,FORA
BRASIL - SÉRIE A,BOTAFOGO,CEARÁ,1,1,EMPATE
BRASIL - SÉRIE A,SANTOS,FLAMENGO,4,0,CASA
BRASIL - SÉRIE A,GOIÁS,GRÊMIO,3,2,CASA
BRASIL - SÉRIE A,CORINTHIANS,FLUMINENSE,1,2,FORA
BRASIL - SÉRIE A,CRUZEIRO,PALMEIRAS,0,2,FORA
BRASIL - SÉRIE A,INTERNACIONAL,ATLÉTICO MINEIRO,2,1,CASA
BRASIL - SÉRIE A,CHAPECOENSE,CS ALAGOANO,3,0,CASA
BRASIL - SÉRIE A,SÃO PAULO,INTERNACIONAL,2,1,CASA
BRASIL - SÉRIE A,FLUMINENSE,FORTALEZA EC,0,0,EMPATE
BRASIL - SÉRIE A,PALMEIRAS,GOIÁS,5,1,CASA
BRASIL - SÉRIE A,EC BAHIA,VASCO DA GAMA,1,1,EMPATE
BRASIL - SÉRIE A,GRÊMIO,CRUZEIRO,2,0,CASA
BRASIL - SÉRIE A,FLAMENGO,AVAÍ,6,1,CASA
BRASIL - SÉRIE A,ATLÉTICO PARANAENSE,SANTOS,1,0,CASA
BRASIL - SÉRIE A,CEARÁ,CORINTHIANS,0,1,FORA
BRASIL - SÉRIE A,ATLÉTICO MINEIRO,BOTAFOGO,2,0,CASA
BRASIL - SÉRIE A,VASCO DA GAMA,CRUZEIRO,1,0,CASA
BRASIL - SÉRIE A,AVAÍ,FLUMINENSE,1,1,EMPATE
BRASIL - SÉRIE A,GOIÁS,FORTALEZA EC,1,2,FORA
BRASIL - SÉRIE A,PALMEIRAS,FLAMENGO,1,3,FORA
BRASIL - SÉRIE A,CS ALAGOANO,EC BAHIA,1,2,FORA
BRASIL - SÉRIE A,ATLÉTICO MINEIRO,CORINTHIANS,2,1,CASA
BRASIL - SÉRIE A,SANTOS,CHAPECOENSE,2,0,CASA
BRASIL - SÉRIE A,GRÊMIO,SÃO PAULO,3,0,CASA
BRASIL - SÉRIE A,CEARÁ,ATLÉTICO PARANAENSE,1,1,EMPATE
BRASIL - SÉRIE A,BOTAFOGO,INTERNACIONAL,0,1,FORA
BRASIL - SÉRIE A,CRUZEIRO,CS ALAGOANO,0,1,FORA
BRASIL - SÉRIE A,EC BAHIA,ATLÉTICO MINEIRO,1,1,EMPATE
BRASIL - SÉRIE A,FLAMENGO,CEARÁ,4,1,CASA
BRASIL - SÉRIE A,CORINTHIANS,AVAÍ,3,0,CASA
BRASIL - SÉRIE A,ATLÉTICO PARANAENSE,GRÊMIO,2,0,CASA
BRASIL - SÉRIE A,FLUMINENSE,PALMEIRAS,1,0,CASA
BRASIL - SÉRIE A,FORTALEZA EC,SANTOS,2,1,CASA
BRASIL - SÉRIE A,SÃO PAULO,VASCO DA GAMA,1,0,CASA
BRASIL - SÉRIE A,CHAPECOENSE,BOTAFOGO,0,1,FORA
BRASIL - SÉRIE A,INTERNACIONAL,GOIÁS,1,2,FORA
BRASIL - SÉRIE A,CS ALAGOANO,FLUMINENSE,0,1,FORA
BRASIL - SÉRIE A,SANTOS,CRUZEIRO,4,1,CASA
BRASIL - SÉRIE A,GOIÁS,EC BAHIA,4,3,CASA
BRASIL - SÉRIE A,ATLÉTICO MINEIRO,ATLÉTICO PARANAENSE,0,1,FORA
BRASIL - SÉRIE A,PALMEIRAS,GRÊMIO,1,2,FORA
BRASIL - SÉRIE A,BOTAFOGO,CORINTHIANS,1,0,CASA
BRASIL - SÉRIE A,CEARÁ,SÃO PAULO,1,1,EMPATE
BRASIL - SÉRIE A,AVAÍ,CHAPECOENSE,0,1,FORA
BRASIL - SÉRIE A,INTERNACIONAL,FORTALEZA EC,2,2,EMPATE
BRASIL - SÉRIE A,VASCO DA GAMA,GOIÁS,1,1,EMPATE
BRASIL - SÉRIE A,CRUZEIRO,AVAÍ,0,0,EMPATE
BRASIL - SÉRIE A,EC BAHIA,PALMEIRAS,1,1,EMPATE
BRASIL - SÉRIE A,GRÊMIO,FLAMENGO,0,1,FORA
BRASIL - SÉRIE A,CHAPECOENSE,CEARÁ,1,0,CASA
BRASIL - SÉRIE A,CORINTHIANS,INTERNACIONAL,0,0,EMPATE
BRASIL - SÉRIE A,ATLÉTICO PARANAENSE,BOTAFOGO,1,0,CASA
BRASIL - SÉRIE A,FORTALEZA EC,CS ALAGOANO,3,0,CASA
BRASIL - SÉRIE A,SANTOS,SÃO PAULO,1,1,EMPATE
BRASIL - SÉRIE A,FLUMINENSE,ATLÉTICO MINEIRO,1,1,EMPATE
BRASIL - SÉRIE A,FLAMENGO,VASCO DA GAMA,4,4,EMPATE
BRASIL - SÉRIE A,BOTAFOGO,AVAÍ,2,0,CASA
BRASIL - SÉRIE A,SÃO PAULO,ATLÉTICO PARANAENSE,0,1,FORA
BRASIL - SÉRIE A,INTERNACIONAL,FLUMINENSE,2,1,CASA
BRASIL - SÉRIE A,CRUZEIRO,ATLÉTICO MINEIRO,0,0,EMPATE
BRASIL - SÉRIE A,FLAMENGO,EC BAHIA,3,1,CASA
BRASIL - SÉRIE A,CHAPECOENSE,GRÊMIO,0,1,FORA
BRASIL - SÉRIE A,CS ALAGOANO,VASCO DA GAMA,0,3,FORA
BRASIL - SÉRIE A,FORTALEZA EC,CEARÁ,1,0,CASA
BRASIL - SÉRIE A,GOIÁS,SANTOS,0,3,FORA
BRASIL - SÉRIE A,PALMEIRAS,CORINTHIANS,1,1,EMPATE
BRASIL - SÉRIE A,GRÊMIO,CS ALAGOANO,2,1,CASA
BRASIL - SÉRIE A,AVAÍ,SANTOS,1,2,FORA
BRASIL - SÉRIE A,EC BAHIA,CHAPECOENSE,1,1,EMPATE
BRASIL - SÉRIE A,VASCO DA GAMA,PALMEIRAS,1,2,FORA
BRASIL - SÉRIE A,ATLÉTICO PARANAENSE,CRUZEIRO,0,0,EMPATE
BRASIL - SÉRIE A,SÃO PAULO,FLUMINENSE,0,2,FORA
BRASIL - SÉRIE A,CEARÁ,INTERNACIONAL,2,0,CASA
BRASIL - SÉRIE A,BOTAFOGO,FLAMENGO,0,1,FORA
BRASIL - SÉRIE A,CORINTHIANS,FORTALEZA EC,3,2,CASA
BRASIL - SÉRIE A,ATLÉTICO MINEIRO,GOIÁS,2,0,CASA
BRASIL - SÉRIE A,CHAPECOENSE,SÃO PAULO,0,3,FORA
BRASIL - SÉRIE A,FLAMENGO,CORINTHIANS,4,1,CASA
BRASIL - SÉRIE A,ATLÉTICO PARANAENSE,CS ALAGOANO,1,0,CASA
BRASIL - SÉRIE A,GRÊMIO,INTERNACIONAL,2,0,CASA
BRASIL - SÉRIE A,SANTOS,BOTAFOGO,4,1,CASA
BRASIL - SÉRIE A,CRUZEIRO,EC BAHIA,1,1,EMPATE
BRASIL - SÉRIE A,GOIÁS,AVAÍ,2,0,CASA
BRASIL - SÉRIE A,FORTALEZA EC,ATLÉTICO MINEIRO,2,2,EMPATE
BRASIL - SÉRIE A,FLUMINENSE,VASCO DA GAMA,0,0,EMPATE
BRASIL - SÉRIE A,PALMEIRAS,CEARÁ,1,0,CASA
BRASIL - SÉRIE A,BOTAFOGO,CRUZEIRO,0,2,FORA
BRASIL - SÉRIE A,INTERNACIONAL,ATLÉTICO PARANAENSE,1,1,EMPATE
BRASIL - SÉRIE A,CS ALAGOANO,CORINTHIANS,2,1,CASA
BRASIL - SÉRIE A,VASCO DA GAMA,GRÊMIO,1,3,FORA
BRASIL - SÉRIE A,CEARÁ,FLUMINENSE,2,0,CASA
BRASIL - SÉRIE A,SANTOS,EC BAHIA,1,0,CASA
BRASIL - SÉRIE A,GOIÁS,FLAMENGO,2,2,EMPATE
BRASIL - SÉRIE A,PALMEIRAS,SÃO PAULO,3,0,CASA
BRASIL - SÉRIE A,AVAÍ,FORTALEZA EC,1,3,FORA
BRASIL - SÉRIE A,ATLÉTICO MINEIRO,CHAPECOENSE,0,2,FORA
BRASIL - SÉRIE A,CRUZEIRO,FORTALEZA EC,1,1,EMPATE
BRASIL - SÉRIE A,GRÊMIO,BOTAFOGO,3,0,CASA
BRASIL - SÉRIE A,SÃO PAULO,ATLÉTICO MINEIRO,2,0,CASA
BRASIL - SÉRIE A,ATLÉTICO PARANAENSE,GOIÁS,4,1,CASA
BRASIL - SÉRIE A,AVAÍ,PALMEIRAS,1,2,FORA
BRASIL - SÉRIE A,FLAMENGO,CS ALAGOANO,1,0,CASA
BRASIL - SÉRIE A,CEARÁ,VASCO DA GAMA,1,1,EMPATE
BRASIL - SÉRIE A,CORINTHIANS,SANTOS,0,0,EMPATE
BRASIL - SÉRIE A,EC BAHIA,INTERNACIONAL,2,3,FORA
BRASIL - SÉRIE A,FLUMINENSE,CHAPECOENSE,1,1,EMPATE
BRASIL - SÉRIE A,EC BAHIA,CEARÁ,1,2,FORA
BRASIL - SÉRIE A,BOTAFOGO,CS ALAGOANO,2,1,CASA
BRASIL - SÉRIE A,INTERNACIONAL,VASCO DA GAMA,0,1,FORA
BRASIL - SÉRIE A,SÃO PAULO,AVAÍ,1,0,CASA
BRASIL - SÉRIE A,ATLÉTICO MINEIRO,SANTOS,2,0,CASA
BRASIL - SÉRIE A,FLAMENGO,FLUMINENSE,2,0,CASA
BRASIL - SÉRIE A,CHAPECOENSE,GOIÁS,2,2,EMPATE
BRASIL - SÉRIE A,ATLÉTICO PARANAENSE,PALMEIRAS,1,1,EMPATE
BRASIL - SÉRIE A,FORTALEZA EC,GRÊMIO,2,1,CASA
BRASIL - SÉRIE A,CORINTHIANS,CRUZEIRO,1,2,FORA
BRASIL - SÉRIE A,FLUMINENSE,ATLÉTICO PARANAENSE,1,2,FORA
BRASIL - SÉRIE A,CRUZEIRO,SÃO PAULO,1,0,CASA
BRASIL - SÉRIE A,PALMEIRAS,CHAPECOENSE,1,0,CASA
BRASIL - SÉRIE A,VASCO DA GAMA,BOTAFOGO,2,1,CASA
BRASIL - SÉRIE A,GOIÁS,CORINTHIANS,2,2,EMPATE
BRASIL - SÉRIE A,SANTOS,CEARÁ,2,1,CASA
BRASIL - SÉRIE A,AVAÍ,INTERNACIONAL,0,2,FORA
BRASIL - SÉRIE A,GRÊMIO,EC BAHIA,0,1,FORA
BRASIL - SÉRIE A,CS ALAGOANO,ATLÉTICO MINEIRO,2,2,EMPATE
BRASIL - SÉRIE A,FORTALEZA EC,FLAMENGO,1,2,FORA
BRASIL - SÉRIE A,PALMEIRAS,BOTAFOGO,1,0,CASA
BRASIL - SÉRIE A,VASCO DA GAMA,FORTALEZA EC,1,0,CASA
BRASIL - SÉRIE A,INTERNACIONAL,SANTOS,0,0,EMPATE
BRASIL - SÉRIE A,CEARÁ,AVAÍ,1,0,CASA
BRASIL - SÉRIE A,ATLÉTICO PARANAENSE,FLAMENGO,0,2,FORA
BRASIL - SÉRIE A,SÃO PAULO,CORINTHIANS,1,0,CASA
BRASIL - SÉRIE A,ATLÉTICO MINEIRO,GRÊMIO,1,4,FORA
BRASIL - SÉRIE A,CHAPECOENSE,CRUZEIRO,1,1,EMPATE
BRASIL - SÉRIE A,GOIÁS,CS ALAGOANO,1,0,CASA
BRASIL - SÉRIE A,FLUMINENSE,EC BAHIA,2,0,CASA
BRASIL - SÉRIE A,GRÊMIO,CEARÁ,2,1,CASA
BRASIL - SÉRIE A,EC BAHIA,SÃO PAULO,0,0,EMPATE
BRASIL - SÉRIE A,CRUZEIRO,FLUMINENSE,0,0,EMPATE
BRASIL - SÉRIE A,SANTOS,PALMEIRAS,2,0,CASA
BRASIL - SÉRIE A,AVAÍ,VASCO DA GAMA,0,0,EMPATE
BRASIL - SÉRIE A,CORINTHIANS,ATLÉTICO PARANAENSE,2,2,EMPATE
