"CONFRONTO_CASA","CONFRONTO_FORA","posse_casa","posse_fora","ataques_casa","ataques_fora","ataques_perigosos_casa","ataques_perigosos_fora","ResultFT"
Athletico PR,Bragantino,"51","49","89","84","32","44",EMPATE
Fluminense,Atlético GO,"41","59","70","81","30","59",EMPATE
Goiás,Corinthians,"44","56","71","83","31","37",FORA
Ceará,Fortaleza,"35","65","52","81","22","31",CASA
Atlético GO,Ceará,"51","49","71","80","35","32",FORA
Santos,Flamengo,"60","40","90","57","50","40",FORA
Coritiba,Sport Recife,"61","39","88","71","30","41",CASA
São Paulo,Corinthians,"58","42","104","65","41","23",CASA
Fortaleza,Bragantino,"56","44","64","60","23","25",CASA
Fluminense,Vasco da Gama,"44","56","73","94","32","48",CASA
Bahia,Palmeiras,"49","51","71","93","37","46",EMPATE
Botafogo,Internacional,"51","49","73","87","47","49",FORA
São Paulo,Athletico PR,"55","45","87","90","48","39",CASA
Ceará,Bahia,"45","55","78","84","41","35",CASA
Vasco da Gama,Grêmio,"46","54","57","57","24","28",EMPATE
Palmeiras,Santos,"51","49","70","64","36","24",CASA
Bragantino,Coritiba,"51","49","94","62","35","24",FORA
Flamengo,Botafogo,"65","35","96","67","50","31",EMPATE
Goiás,Atlético GO,"33","67","67","106","28","48",CASA
Internacional,Atlético Mineiro,"40","60","78","117","20","48",CASA
Athletico PR,Fluminense,"67","33","100","59","45","23",FORA
São Paulo,Bahia,"65","35","108","68","58","26",EMPATE
Ceará,Vasco da Gama,"58","42","81","50","48","15",FORA
Sport Recife,Santos,"38","62","94","107","30","31",FORA
Botafogo,Atlético Mineiro,"33","67","72","87","39","71",CASA
Corinthians,Coritiba,"61","39","103","69","57","33",CASA
Internacional,Atlético GO,"63","37","102","56","41","22",CASA
Goiás,Fortaleza,"47","53","90","79","36","29",FORA
Athletico PR,Palmeiras,"54","46","94","88","37","32",FORA
Flamengo,Grêmio,"58","42","79","79","45","33",EMPATE
Bragantino,Fluminense,"53","47","90","96","37","31",CASA
Santos,Athletico PR,"31","69","66","87","40","62",CASA
Fortaleza,Botafogo,"56","44","76","60","37","30",EMPATE
Atlético GO,Sport Recife,"34","66","70","75","24","43",EMPATE
Fluminense,Internacional,"46","54","63","76","35","43",CASA
Vasco da Gama,São Paulo,"43","57","56","69","27","36",CASA
Bahia,Bragantino,"36","64","68","96","28","51",CASA
Atlético Mineiro,Ceará,"59","41","68","70","39","32",CASA
Palmeiras,Goiás,"61","39","93","79","40","31",EMPATE
