"CONFRONTO_CASA","CONFRONTO_FORA","posse_dif_casa","posse_dif_fora","ataques_dif_casa","ataques_dif_fora","ataques_perigosos_dif_casa","ataques_perigosos_dif_fora","chutes_livres_dif_casa","chutes_livres_dif_fora","conjunto_de_peças_dif_casa","conjunto_de_peças_dif_fora","penaltis_dif_casa","penaltis_dif_fora","tiros_fora_do_alvo_dif_casa","tiros_fora_do_alvo_dif_fora","chaves_dif_casa","chaves_dif_fora","cantos_dif_casa","cantos_dif_fora","faltas_dif_casa","faltas_dif_fora","ResultFT"
Cruzeiro,Santos,24,0,31,0,26,0,0,9,0,2,3,0,3,0,0,5,4,0,8,0,CASA
São Paulo,Ceará,8,0,7,0,14,0,0,0,0,5,0,2,0,0,0,2,0,6,0,5,CASA
Fluminense,CSA,30,0,6,0,35,0,10,0,0,11,11,0,10,0,9,0,6,0,0,10,FORA
Bahia,Goiás,0,2,0,13,0,6,8,0,0,1,0,1,2,0,4,0,0,0,0,5,EMPATE
Grêmio,Palmeiras,26,0,24,0,5,0,3,0,0,3,0,4,2,0,14,0,1,0,0,2,EMPATE
Vasco da Gama,Flamengo,0,8,0,21,0,15,3,0,5,0,0,0,1,0,1,0,0,0,0,5,FORA
Athletico PR,Atlético Mineiro,4,0,11,0,11,0,5,0,1,0,0,6,0,0,0,15,0,2,0,3,CASA
Corinthians,Botafogo,8,0,1,0,21,0,0,2,0,4,4,0,3,0,2,0,5,0,1,0,CASA
CSA,Fortaleza,6,0,21,0,20,0,0,4,0,8,5,0,6,0,11,0,0,1,6,0,FORA
Goiás,Vasco da Gama,10,0,10,0,8,0,7,0,0,3,0,1,2,0,0,9,0,1,0,7,FORA
Palmeiras,Bahia,0,12,0,13,11,0,8,0,0,4,4,0,4,0,4,0,5,0,0,7,EMPATE
Botafogo,Athletico PR,12,0,0,2,0,0,0,1,6,0,0,4,0,5,10,0,0,0,0,1,CASA
Avaí,Cruzeiro,10,0,8,0,0,0,0,2,1,0,0,2,2,0,4,0,4,0,0,1,EMPATE
Internacional,Corinthians,16,0,15,0,21,0,0,11,0,4,1,0,0,2,2,0,6,0,9,0,EMPATE
Atlético Mineiro,Fluminense,0,12,6,0,0,0,0,4,3,0,1,0,0,2,0,15,0,2,3,0,CASA
Flamengo,Grêmio,12,0,23,0,21,0,4,0,0,4,3,0,3,0,9,0,1,0,0,3,CASA
São Paulo,Santos,6,0,16,0,12,0,0,7,0,3,2,0,4,0,0,3,3,0,6,0,CASA
Corinthians,Goiás,30,0,18,0,12,0,0,0,0,5,2,0,3,0,9,0,1,0,5,0,CASA
Grêmio,Chapecoense,22,0,21,0,30,0,0,5,0,3,5,0,0,0,0,3,8,0,2,0,EMPATE
Atlético Mineiro,Cruzeiro,0,16,0,22,0,10,0,3,0,3,1,0,1,0,0,6,0,0,8,0,CASA
Corinthians,Palmeiras,4,0,0,2,0,4,15,0,2,0,0,0,1,0,9,0,0,2,0,12,EMPATE
Avaí,Botafogo,28,0,15,0,30,0,0,4,0,7,0,0,10,0,15,0,15,0,0,1,FORA
Bahia,Flamengo,0,28,0,25,0,18,0,6,6,0,3,0,0,4,0,4,0,3,5,0,CASA
Santos,Goiás,6,0,6,0,0,4,0,10,6,0,2,0,0,4,0,4,0,0,7,0,CASA
Ceará,Fortaleza,0,18,0,11,0,12,0,2,1,0,0,2,0,0,0,9,4,0,0,0,CASA
Fluminense,Internacional,16,0,7,0,21,0,5,0,0,9,3,0,6,0,6,0,3,0,0,5,CASA
CSA,Grêmio,0,16,0,6,0,18,2,0,3,0,3,0,0,2,0,1,0,4,0,1,EMPATE
Fortaleza,Corinthians,0,2,0,8,0,1,0,2,2,0,2,0,3,0,0,2,0,0,2,0,FORA
Goiás,Atlético Mineiro,0,6,0,0,8,0,0,3,0,4,4,0,4,0,0,8,3,0,5,0,EMPATE
Santos,Avaí,24,0,14,0,12,0,0,1,0,5,7,0,0,1,10,0,11,0,0,2,CASA
Flamengo,Botafogo,18,0,19,0,17,0,0,4,0,2,0,0,0,4,0,12,1,0,7,0,CASA
Chapecoense,Bahia,0,2,0,5,2,0,1,0,0,1,0,7,1,0,7,0,5,0,1,0,EMPATE
Internacional,Ceará,10,0,1,0,1,0,0,1,0,0,5,0,0,0,0,6,0,0,1,0,CASA
Cruzeiro,Athletico PR,0,18,0,13,0,8,0,1,5,0,0,4,0,7,6,0,0,4,1,0,FORA
Fluminense,São Paulo,24,0,32,0,17,0,0,6,1,0,1,0,0,3,0,4,2,0,3,0,FORA
